[0.62] 博宇四方管理端
[0.33] 选泽公司:
[0.02] 沈阳博宇会幸裎实业有
[0.34] 选泽平台:
[0.33] 全球发展
[0.87] saas管理系统
[0.98] V1.0
[0.13] 选敢统计维度:
[0.96] 总计
[0.30] 选择氙工:
[0.02] 兰部
[0.84] 查询
[0.95] 重
[0.08] 晶  公司架构
[0.86] CRM
[0.67] 品录入(总)
[0.24] 属性总计 
[0.94] 规则总计
[0.83] 完整度
[0.24] Veb链接收入
[0.46] 商品管理
[0.98] 85.5
[0.51] 系统管理
[0.75] CMS
[0.99] 品类
[0.18] 运菩管理
[0.70] 品类数 (总)
[0.86] -级品类
[0.95] 级品类
[0.92] 三级品类
[0.27] |译
[0.55] 数据统计
[0.64] 累计数据
[0.32] 昨日数据
[0.37] 累计数据
[0.37] 阼日数据
[0.77] 累计数据
[0.75] 昨日数据
[0.84] 累计数据
[0.57] 昨日数据
[0.72] 用户统计
[0.67] 19532
[1.00] 203
[1.00] 562
[1.00] 210
[0.87] 168
[1.00] 552
[0.07] 数据统计明细
[0.89] 属性&规则
[0.81] 数据概兄
[0.26] 属性数 (总)
[0.74] 属性
[0.58] 属性值
[0.83] 规则发布次数
[0.40] 规则内7详情条数
[0.44] 累计数据
[0.74] 昨日数据
[0.88] 累计数据
[0.74] 昨日数据
[0.84] 累计数据
[0.67] 昨日数据
[0.84] 累计数据
[0.47] 昨日数据
[0.41] 累计数据
[0.38] 昨日数据
[1.00] 320
[1.00] 2652
[1.00] 2654
[0.98] 4545
[1.00] 1025
[1.00] 4512
[0.92] 企业信息
[0.94] 企业完整度
[0.51] Web链接录^
[0.66] 供应信息发布数
[0.38] 需求信息发布数
[0.64] 平均数据
[0.32] 昨日数据
[0.37] 累计数据
[0.37] 阼日数据
[0.77] 累计数据
[0.75] 昨日数据
[0.84] 累计数据
[0.57] 昨日数据
[0.57] 78.2
[1.00] 1250
[1.00] 890
[1.00] 650
[0.43] 企业筒介
[0.34] 业务领域
[0.50] 企业文化
[0.81] 新闻中心
[0.06] 聂计数据
[0.20] 昨日数据
[0.06] 聂计数据
[0.14] 诈日数据
[0.42] 累计数据
[0.02] 阼习数猞
[0.05] 累计数据
[0.56] 昨曰数据
